trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-79.713325875153,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-32.21137352200703,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-84.32281185612602,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-97.67746565271261,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-140.00315601697076,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,2,-88.3685822131517,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-118.03013837172483,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-177.44133011612558,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-143.21337842634668,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-70.83282952487816,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-59.867403539334596,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-114.62581220181875,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-69.74930263213315,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-119.22687093109803,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,15,-0.04399066126416851,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-63.68181539317752,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-77.32905495809773,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,0,-267.2706779758281,"{0: 14, 1: 3, 2: 7, 3: 2, 4: 4}",0
19,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-121.42163222430466,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-77.60708750853259,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-113.75667154192686,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-73.65009627627387,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9713379748520297}",35,0,-178.05684584926874,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-86.21494564556035,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-178.11233002245717,"{0: 16, 1: 7, 2: 4, 3: 0, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-132.4417876899843,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-126.41221519371864,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-54.124119035325265,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-66.7397696463173,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,0,-87.23496580174861,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-94.34336884134915,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-72.1942563496054,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.9427546655283462}",35,0,-146.65965922941965,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-58.635492032544285,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,12,-82.0384266635942,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-114.23078179992464,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-140.7977630400468,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-28.89386953642553,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-190.89352712107362,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
40,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-166.9662875997125,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
41,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,18,0.07656375033761997,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-39.966778653685026,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-203.05526825239482,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
44,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,1,-69.06867261128176,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.8960524975255253}",25,0,-177.26746143338988,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,0,-50.61107859560503,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-103.66828929759164,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-82.27547846840179,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-132.90364931950143,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-92.48392844858238,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-61.92146854164152,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-125.5758608867931,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,7,-3.2126231585495564,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,7,-17.915395875080403,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-21.237378276746163,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-100.41276522121456,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-68.68061950661567,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,0,-123.36669032805271,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-87.68942666290897,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-171.01966921136915,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
61,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,2.9423521638853023,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-161.1624444308063,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
63,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-98.9411464792636,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-43.47365011824903,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.7899922314973651}",35,14,-38.162673788057404,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,6,-118.77719980140728,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 3}",1
67,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-111.56281228125341,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-116.07108322518965,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,0,-115.28014161973827,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,0,-75.13272214828514,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-61.932625015280756,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,15,6.489171905946211,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-54.97781088390097,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,14,-16.687142369691394,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,2,-106.6498663098359,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 2}",1
76,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,0,-20.89717368148993,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,0,-55.06098593708306,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7038453156522362}",25,0,-46.04059568977733,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.6967067093471655}",30,13,-13.324833823323047,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,0,-132.28683649103448,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,0,-123.75065206515659,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,8,-48.33821562094229,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,9,-111.245170221654,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 3}",1
84,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,6,-20.045991948225502,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,5,-8.431585894089332,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-66.35885492335154,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,16,7.177806844901818,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-27.400247308074334,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,3,-55.0366587499426,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
90,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,10,-35.308369336612145,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-91.32886089124808,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,9,-81.88515333733281,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5897880250310983}",30,0,-54.46287835806173,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5816830894638835}",30,13,-63.27212866926646,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,3,0.9877226980563725,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,13,5.993103400667621,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,13,-15.469301472467581,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,9,-21.58658808452724,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,11,7.0834970698150785,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,16,7.674321047921534,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,0,-138.32966692370886,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-92.7268017336421,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
103,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,9,-68.07417348063433,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
104,False,"{'a': 0.01, 'e': 0.497571047891727}",25,0,-98.09946037132886,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
105,False,"{'a': 0.01, 'e': 0.48887208186052755}",30,6,-46.58686838286954,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,6,-12.073143825093968,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-43.060873337273165,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,12,-62.21391573567819,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
